tract_fips,county_name,diabetes_crude_prev,obesity_crude_prev,bphigh_crude_prev,csmoking_crude_prev,lpa_crude_prev,checkup_crude_prev,access2_crude_prev,geolocation
53005001900,Benton,15.1,46.5,36.8,17.5,31.1,68.3,18.3,POINT (-119.5262 46.3080)
53005002000,Benton,11.8,31.4,32.7,5.6,11.8,70.1,2.8,POINT (-119.6962 46.2413)
53005002100,Benton,13.9,33.3,35.6,13.4,25.6,65.9,17.1,POINT (-119.4035 46.2467)
53005002200,Benton,9.9,27.6,30.2,10.3,15.4,69.4,4.9,POINT (-119.6139 46.2521)
53005002300,Benton,10.1,35.4,34.7,10.6,23.6,64.7,11.6,POINT (-119.5754 46.2803)
53005002400,Benton,11.3,35.9,31.1,13.0,19.7,67.5,11.3,POINT (-119.5250 46.2435)
53005002500,Benton,10.7,30.5,33.3,11.9,21.1,71.7,7.1,POINT (-119.4324 46.1944)
53005002600,Benton,8.4,32.6,28.9,11.3,18.1,72.7,5.1,POINT (-119.7179 46.3452)
53005002700,Benton,11.2,33.6,31.6,14.6,24.0,71.4,14.9,POINT (-119.5154 46.3601)
53005002800,Benton,9.9,35.0,29.3,13.3,20.1,69.0,10.7,POINT (-119.3778 46.2902)
53005002900,Benton,7.8,37.3,24.3,10.5,20.0,70.4,9.9,POINT (-119.3860 46.2201)
53005003000,Benton,11.4,34.8,30.4,13.1,19.3,72.0,7.6,POINT (-119.6563 46.1333)
53005003100,Benton,7.8,26.5,26.4,7.8,11.6,69.3,3.4,POINT (-119.3719 46.2772)
53005003200,Benton,8.6,27.4,27.4,6.6,9.7,67.0,2.8,POINT (-119.4625 46.3477)
53005003300,Benton,10.6,39.9,34.3,14.5,22.6,67.0,10.9,POINT (-119.5874 46.2376)
53005003400,Benton,9.1,32.0,26.3,12.2,22.3,67.6,12.7,POINT (-119.5921 46.3740)
53005003500,Benton,11.6,33.4,33.3,12.6,20.7,67.5,10.0,POINT (-119.5072 46.3033)
53005003600,Benton,11.1,40.7,35.5,19.4,25.4,72.1,12.7,POINT (-119.5626 46.2626)
53005003700,Benton,15.3,38.7,37.7,14.4,19.4,69.3,6.5,POINT (-119.4913 46.3694)
53005003800,Benton,10.2,34.1,35.4,14.4,20.3,67.4,10.7,POINT (-119.7170 46.3613)
53005003900,Benton,6.5,33.8,27.3,10.4,12.2,72.8,2.8,POINT (-119.4331 46.2518)
53005004000,Benton,12.9,30.7,33.2,11.9,20.1,68.4,11.2,POINT (-119.3580 46.3035)
53005004100,Benton,7.2,26.2,24.6,9.6,16.4,64.3,4.6,POINT (-119.7199 46.0813)
53005004200,Benton,13.0,39.4,34.2,18.2,27.0,72.8,13.9,POINT (-119.7083 46.2217)
53005004300,Benton,15.0,48.6,40.2,21.5,33.5,74.9,14.8,POINT (-119.6312 46.3724)
53005004400,Benton,11.6,39.8,29.1,12.5,16.2,68.2,8.0,POINT (-119.6955 46.2218)
53005004500,Benton,13.6,39.3,41.3,12.8,18.6,72.1,6.9,POINT (-119.5680 46.2366)
53005004600,Benton,9.8,22.6,27.9,5.4,13.4,70.3,2.8,POINT (-119.5860 46.0934)
53005004700,Benton,8.6,24.7,26.2,10.3,13.4,69.5,3.6,POINT (-119.3240 46.1974)
53005004800,Benton,7.9,27.7,23.0,8.1,11.0,73.6,2.8,POINT (-119.5021 46.1424)
53005004900,Benton,8.1,29.5,26.0,9.6,17.1,70.5,5.4,POINT (-119.4032 46.3762)
53005005000,Benton,8.4,27.9,20.7,6.4,15.8,72.3,5.0,POINT (-119.3327 46.3780)
53005005100,Benton,11.3,36.0,40.6,15.9,23.5,68.4,7.4,POINT (-119.4414 46.2269)
53005005200,Benton,10.4,29.5,26.5,9.3,13.8,73.5,5.7,POINT (-119.5435 46.1131)
53005005300,Benton,9.8,38.4,30.7,12.3,23.7,71.1,8.3,POINT (-119.5179 46.3227)
53005005400,Benton,9.4,27.1,24.5,11.2,21.7,63.2,14.4,POINT (-119.4217 46.2908)
53005005500,Benton,8.2,26.6,24.6,7.3,13.4,65.7,6.0,POINT (-119.3697 46.1560)
53007000100,Chelan,10.0,30.7,27.1,9.9,18.4,70.0,5.6,POINT (-120.7359 47.8579)
53007000200,Chelan,10.4,35.8,26.5,14.0,19.4,69.5,7.3,POINT (-120.6529 47.9796)
53007000300,Chelan,5.6,15.9,20.0,4.8,6.9,68.8,2.8,POINT (-120.6008 47.9451)
53007000400,Chelan,10.0,26.3,27.0,9.4,13.5,67.2,7.8,POINT (-120.4960 47.8346)
53007000500,Chelan,8.7,33.0,24.6,12.5,21.9,60.0,11.8,POINT (-120.6638 47.8953)
53007000600,Chelan,11.6,33.8,33.5,11.6,19.6,69.6,11.1,POINT (-120.4618 47.7529)
53007000700,Chelan,10.8,34.7,30.2,11.8,18.2,70.4,6.3,POINT (-120.4747 47.7306)
53007000800,Chelan,10.9,42.6,34.8,15.2,26.4,68.9,8.3,POINT (-120.5643 47.8280)
53007000900,Chelan,7.6,18.9,22.7,5.9,14.4,68.5,5.4,POINT (-120.7593 47.9967)
53007001000,Chelan,12.2,26.1,33.1,11.5,15.0,73.1,5.6,POINT (-120.5142 47.8901)
53007001100,Chelan,9.1,32.8,34.0,12.1,19.4,68.7,6.1,POINT (-120.6097 47.9473)
53007001200,Chelan,12.2,32.1,33.5,11.3,20.4,71.0,11.1,POINT (-120.5170 47.9074)
53007001300,Chelan,8.9,28.4,24.6,8.9,15.8,70.2,3.9,POINT (-120.5153 47.9723)
53007001400,Chelan,12.3,42.1,36.0,19.7,26.1,65.8,10.4,POINT (-120.4213 47.8262)
53007001500,Chelan,13.9,42.0,37.5,17.0,23.6,77.9,9.3,POINT (-120.8102 47.8504)
53007001600,Chelan,10.4,35.7,32.1,13.6,18.9,70.8,12.1,POINT (-120.7689 47.8288)
53007001700,Chelan,13.5,45.5,36.1,15.7,25.1,70.7,14.3,POINT (-120.7074 47.7564)
53007001800,Chelan,5.9,30.8,22.0,9.0,11.6,62.4,6.7,POINT (-120.5446 47.7360)
53007001900,Chelan,10.3,26.6,26.0,8.8,19.2,67.4,6.1,POINT (-120.7387 47.7422)
53007002000,Chelan,9.5,29.6,21.5,10.2,15.7,69.0,11.3,POINT (-120.7947 47.7479)
53007002100,Chelan,13.0,36.1,32.3,18.9,26.6,68.5,15.2,POINT (-120.5912 47.8003)
53007002200,Chelan,10.6,32.3,29.2,10.7,17.8,67.3,6.3,POINT (-120.4698 48.0094)
53009000100,Clallam,10.6,31.5,34.2,6.4,16.9,74.8,2.8,POINT (-124.0596 48.2228)
53009000200,Clallam,9.5,28.8,24.4,8.5,12.2,73.2,4.6,POINT (-124.0994 48.0395)
53009000300,Clallam,13.5,41.3,33.7,14.9,25.3,66.1,15.2,POINT (-124.1021 48.1935)
53009000400,Clallam,9.7,29.3,30.3,11.3,16.8,72.5,3.2,POINT (-124.0308 48.1270)
53009000500,Clallam,11.9,37.6,32.5,14.7,19.7,72.2,7.5,POINT (-123.7337 48.0330)
53009000600,Clallam,9.0,34.3,26.2,9.2,12.4,70.4,2.8,POINT (-123.7952 48.1870)
53009000700,Clallam,14.7,31.2,41.6,13.1,21.8,70.1,10.6,POINT (-123.7816 48.1316)
53009000800,Clallam,10.2,36.8,30.7,13.6,20.1,68.9,9.7,POINT (-123.7515 48.1536)
53009000900,Clallam,6.1,18.0,22.5,5.4,8.8,67.6,2.8,POINT (-123.8919 48.0444)
53009001000,Clallam,9.0,26.1,27.3,7.0,14.1,63.7,8.6,POINT (-123.9728 48.1670)
53009001100,Clallam,11.5,35.5,34.9,16.5,26.3,64.0,12.3,POINT (-123.7381 48.2239)
53009001200,Clallam,8.8,29.2,28.2,8.7,15.4,66.7,4.6,POINT (-123.9737 48.1081)
53009001300,Clallam,6.8,21.3,18.9,4.5,11.6,64.0,11.1,POINT (-123.7889 48.1016)
53009001400,Clallam,11.6,35.3,30.2,14.4,20.5,69.1,15.9,POINT (-124.1121 48.1536)
53009001500,Clallam,10.1,36.7,28.4,13.1,24.6,66.6,17.4,POINT (-124.1231 48.1227)
53009001600,Clallam,12.1,33.0,34.7,14.4,23.4,65.0,11.2,POINT (-123.9987 48.1936)
53009001700,Clallam,9.7,30.6,30.2,11.2,14.6,70.3,6.1,POINT (-123.8105 48.1016)
53009001800,Clallam,11.7,39.5,35.5,15.8,23.8,65.0,13.6,POINT (-124.0666 47.9739)
53009001900,Clallam,10.9,34.3,27.8,10.3,20.4,68.6,11.1,POINT (-124.0380 48.0794)
53009002000,Clallam,10.4,32.4,32.5,10.8,18.3,68.4,6.5,POINT (-123.7307 48.0614)
53009002100,Clallam,9.6,31.6,27.3,13.6,17.6,67.3,7.3,POINT (-123.7764 48.2076)
53009002200,Clallam,14.0,39.8,39.8,12.8,23.2,74.5,8.9,POINT (-123.9936 48.2411)
53009002300,Clallam,13.0,34.8,38.5,18.0,25.0,68.8,16.5,POINT (-124.0364 48.0491)
53009002400,Clallam,14.3,37.3,36.3,14.1,20.1,67.7,6.9,POINT (-123.8582 48.2090)
53011000100,Clark,7.4,27.9,26.1,12.4,15.3,70.8,5.5,POINT (-122.5292 45.6909)
53011000200,Clark,9.2,34.5,26.6,13.0,20.2,69.6,10.4,POINT (-122.4687 45.7720)
53011000300,Clark,15.5,40.5,39.6,15.2,24.4,69.5,14.8,POINT (-122.5278 45.8866)
53011000400,Clark,12.9,35.9,33.8,14.8,22.1,71.6,10.8,POINT (-122.5035 45.8926)
53011000500,Clark,5.6,31.4,27.5,9.1,13.7,69.8,4.5,POINT (-122.3079 45.8439)
53011000600,Clark,11.0,43.7,33.4,14.8,20.4,67.8,9.1,POINT (-122.6572 45.8923)
53011000700,Clark,13.8,37.9,38.4,15.0,27.3,78.6,10.4,POINT (-122.4892 45.6817)
53011000800,Clark,8.1,34.0,29.3,15.5,23.0,67.2,13.8,POINT (-122.4236 45.7495)
53011000900,Clark,12.1,40.6,36.6,17.7,29.1,74.3,15.9,POINT (-122.6350 45.9034)
53011001000,Clark,8.9,31.6,31.7,9.7,17.6,68.7,7.0,POINT (-122.6030 45.7556)
53011001100,Clark,12.5,38.6,35.9,12.3,23.3,72.8,15.0,POINT (-122.2942 45.8882)
53011001200,Clark,8.6,31.2,28.6,14.1,19.9,69.1,11.1,POINT (-122.6384 45.7636)
53011001300,Clark,9.8,30.6,30.4,13.2,17.4,69.3,6.0,POINT (-122.4011 45.8556)
53011001400,Clark,12.3,30.6,32.8,12.5,24.2,69.4,11.4,POINT (-122.3250 45.7264)
53011001500,Clark,14.0,34.2,32.0,14.4,21.9,66.1,14.0,POINT (-122.4569 45.9127)
53011001600,Clark,10.0,30.3,26.8,12.6,20.8,67.7,15.4,POINT (-122.5610 45.7897)
53011001700,Clark,6.7,19.8,21.3,6.0,11.1,66.5,5.0,POINT (-122.5041 45.7954)
53011001800,Clark,6.2,32.2,23.9,12.8,18.8,68.7,10.3,POINT (-122.6531 45.7107)
53011001900,Clark,10.5,36.7,35.4,14.1,23.6,70.1,14.6,POINT (-122.6009 45.6958)
53011002000,Clark,7.7,36.5,27.0,9.9,17.2,66.8,9.1,POINT (-122.4393 45.7826)
53011002100,Clark,7.7,26.6,20.9,7.9,7.8,62.4,4.6,POINT (-122.5247 45.8026)
53011002200,Clark,11.3,37.3,31.0,13.9,22.0,65.7,15.3,POINT (-122.3463 45.7464)
53011002300,Clark,11.5,34.9,33.6,13.6,16.8,69.1,5.2,POINT (-122.2849 45.7629)
53011002400,Clark,6.8,25.7,28.8,9.8,13.6,70.6,7.4,POINT (-122.4202 45.7519)
53011002500,Clark,11.7,36.3,32.2,15.1,24.1,72.0,13.2,POINT (-122.4187 45.6351)
53011002600,Clark,12.0,34.3,37.5,13.6,26.9,68.8,18.2,POINT (-122.3030 45.8754)
53011002700,Clark,9.8,29.7,28.6,10.1,18.1,70.5,6.3,POINT (-122.5671 45.9192)
53011002800,Clark,9.3,41.1,35.0,15.9,23.7,70.5,12.3,POINT (-122.4997 45.7926)
53011002900,Clark,6.8,25.7,19.8,9.0,15.4,65.1,11.7,POINT (-122.6170 45.7891)
53011003000,Clark,6.3,19.4,22.9,7.9,16.0,65.9,10.7,POINT (-122.3162 45.8768)
53011003100,Clark,9.2,30.7,31.3,12.3,15.2,73.8,7.7,POINT (-122.5678 45.7549)
53011003200,Clark,7.8,30.5,27.8,11.0,15.7,66.6,6.8,POINT (-122.4065 45.6623)
53011003300,Clark,12.3,39.7,34.5,16.7,18.5,73.3,2.9,POINT (-122.3162 45.7137)
53011003400,Clark,8.4,25.0,23.5,10.7,15.0,68.3,6.8,POINT (-122.4217 45.8213)
53011003500,Clark,10.5,34.3,28.4,14.5,20.5,63.5,10.9,POINT (-122.6617 45.7878)
53011003600,Clark,13.1,42.6,36.3,15.9,24.7,76.8,11.0,POINT (-122.4288 45.8996)
53011003700,Clark,10.4,38.3,32.7,13.7,21.3,69.6,9.5,POINT (-122.4651 45.9182)
53011003800,Clark,11.2,35.4,34.8,13.2,21.5,64.2,13.5,POINT (-122.6575 45.8330)
53011003900,Clark,10.2,37.8,24.2,17.7,24.3,70.0,11.1,POINT (-122.3741 45.8095)
53011004000,Clark,10.9,29.9,30.1,14.8,21.1,69.1,13.1,POINT (-122.3720 45.8536)
53011004100,Clark,10.6,34.7,32.8,17.6,24.4,69.5,15.6,POINT (-122.2898 45.6879)
53011004200,Clark,12.1,42.2,37.2,14.0,27.3,67.6,14.8,POINT (-122.6498 45.9186)
53011004300,Clark,7.5,27.8,26.4,10.0,16.6,73.2,6.9,POINT (-122.5642 45.9009)
53011004400,Clark,8.7,34.8,31.8,10.1,18.9,72.2,6.0,POINT (-122.5448 45.8268)
53011004500,Clark,12.8,37.6,36.3,14.3,23.3,67.3,8.4,POINT (-122.6394 45.9103)
53011004600,Clark,13.3,35.5,34.1,9.7,17.7,66.7,11.5,POINT (-122.5088 45.7693)
53011004700,Clark,11.9,33.4,39.7,14.9,22.2,63.6,17.4,POINT (-122.4218 45.7178)
53011004800,Clark,5.9,17.8,24.1,9.9,16.7,68.9,9.5,POINT (-122.3933 45.6593)
53011004900,Clark,11.5,39.1,34.7,15.0,23.3,67.8,11.1,POINT (-122.3582 45.9142)
53011005000,Clark,5.1,23.2,18.4,4.7,9.6,71.1,3.5,POINT (-122.5361 45.8780)
53011005100,Clark,5.4,19.8,23.4,3.7,7.8,69.9,2.8,POINT (-122.4732 45.7175)
53011005200,Clark,9.6,26.3,27.4,10.0,12.5,69.8,4.0,POINT (-122.3019 45.6337)
53011005300,Clark,10.7,35.3,35.7,13.5,20.4,70.8,9.8,POINT (-122.3188 45.6631)
53011005400,Clark,9.5,32.1,27.8,10.2,13.9,74.1,2.8,POINT (-122.3510 45.6451)
53011005500,Clark,7.6,25.2,27.8,7.9,16.6,66.9,8.0,POINT (-122.6647 45.6656)
53011005600,Clark,7.3,37.3,23.5,13.4,21.1,68.6,10.0,POINT (-122.5679 45.8358)
53011005700,Clark,9.0,31.3,28.3,13.0,24.6,66.7,10.6,POINT (-122.4580 45.8343)
53011005800,Clark,9.1,42.7,28.4,18.6,29.8,66.2,19.0,POINT (-122.3071 45.6526)
53011005900,Clark,13.4,37.7,36.6,13.7,20.6,68.8,6.5,POINT (-122.3862 45.7557)
53011006000,Clark,9.4,28.4,29.6,7.2,15.0,72.2,2.8,POINT (-122.4383 45.7703)
53011006100,Clark,10.3,38.9,28.8,17.5,25.8,65.9,15.0,POINT (-122.5999 45.7108)
53011006200,Clark,10.7,34.7,33.5,11.2,19.6,66.0,9.0,POINT (-122.5039 45.7828)
53011006300,Clark,7.1,24.1,27.6,10.1,16.5,65.1,7.5,POINT (-122.4110 45.7370)
53011006400,Clark,12.4,38.1,41.4,15.6,25.0,70.8,11.9,POINT (-122.6616 45.8272)
53011006500,Clark,9.0,34.1,31.5,10.7,14.8,64.3,7.3,POINT (-122.5153 45.7216)
53011006600,Clark,6.6,16.9,23.5,9.9,13.5,69.5,6.0,POINT (-122.5856 45.6491)
53011006700,Clark,9.1,35.3,28.7,13.2,20.9,66.6,13.0,POINT (-122.2815 45.6355)
53011006800,Clark,8.9,27.5,29.4,8.0,14.6,69.4,7.5,POINT (-122.6450 45.8410)
53011006900,Clark,10.5,33.8,33.7,15.3,23.9,69.6,9.1,POINT (-122.3923 45.6261)
53011007000,Clark,6.7,25.3,22.3,7.8,13.0,69.1,4.4,POINT (-122.3653 45.7518)
53011007100,Clark,10.6,34.3,26.6,10.7,18.1,64.8,10.6,POINT (-122.4403 45.8970)
53011007200,Clark,13.2,44.4,37.1,20.2,29.7,69.0,15.1,POINT (-122.3671 45.6761)
53011007300,Clark,8.6,28.5,28.0,10.3,16.5,70.0,9.4,POINT (-122.4479 45.9067)
53011007400,Clark,11.7,29.6,26.5,12.9,16.8,67.1,5.9,POINT (-122.5450 45.8246)
53011007500,Clark,4.8,25.5,22.7,6.7,6.9,66.2,2.8,POINT (-122.3861 45.7345)
53011007600,Clark,5.6,25.5,22.1,9.1,13.9,64.3,9.4,POINT (-122.4284 45.8983)
53011007700,Clark,8.9,30.8,26.1,10.0,14.5,67.8,9.8,POINT (-122.6113 45.8570)
53011007800,Clark,5.9,18.0,25.3,4.9,7.7,71.7,2.8,POINT (-122.4672 45.6836)
53011007900,Clark,13.9,43.4,37.5,21.3,29.0,72.1,16.2,POINT (-122.4260 45.6730)
53011008000,Clark,12.6,44.8,36.8,15.8,26.6,68.7,18.2,POINT (-122.3634 45.7075)
53011008100,Clark,9.7,30.7,30.2,8.5,13.5,73.4,2.8,POINT (-122.4945 45.8624)
53011008200,Clark,6.7,29.1,27.6,11.1,18.9,66.2,6.0,POINT (-122.4213 45.6742)
53011008300,Clark,13.1,37.4,35.9,17.2,27.1,71.3,19.4,POINT (-122.4310 45.9178)
53011008400,Clark,7.7,32.8,26.9,11.8,21.6,69.8,11.6,POINT (-122.6731 45.6307)
53011008500,Clark,12.0,35.2,32.2,11.4,15.2,76.2,2.8,POINT (-122.6017 45.7161)
53011008600,Clark,8.8,29.4,28.8,12.0,20.2,66.9,10.0,POINT (-122.3421 45.8639)
53011008700,Clark,10.0,31.9,34.7,12.8,21.7,72.2,12.2,POINT (-122.5497 45.6976)
53011008800,Clark,9.8,26.8,30.4,8.4,14.0,71.4,7.0,POINT (-122.3166 45.6909)
53011008900,Clark,9.4,33.2,34.0,12.6,25.9,71.8,8.3,POINT (-122.4175 45.7708)
53011009000,Clark,11.2,37.0,36.6,15.3,23.1,66.7,11.3,POINT (-122.4276 45.7446)
53011009100,Clark,7.2,25.1,26.3,11.6,17.4,64.2,10.5,POINT (-122.5441 45.7358)
53011009200,Clark,12.3,34.7,34.5,13.4,19.9,72.1,8.0,POINT (-122.4436 45.8103)
53011009300,Clark,10.4,29.7,29.7,12.3,18.3,74.0,6.2,POINT (-122.6203 45.7081)
53011009400,Clark,9.9,36.9,27.3,10.0,14.2,72.8,2.8,POINT (-122.5139 45.7306)
53011009500,Clark,15.7,41.3,42.0,19.9,34.8,77.4,20.8,POINT (-122.3142 45.8086)
53011009600,Clark,11.9,39.2,36.7,14.0,20.9,70.9,8.3,POINT (-122.5825 45.6309)
53011009700,Clark,8.2,32.6,30.0,11.7,21.7,65.7,10.7,POINT (-122.4791 45.6781)
53011009800,Clark,7.5,20.0,24.4,6.2,14.8,69.9,3.4,POINT (-122.3884 45.7489)
53011009900,Clark,14.0,45.9,40.7,17.7,25.7,70.4,14.8,POINT (-122.4422 45.6927)
53011010000,Clark,14.1,47.5,38.3,16.5,27.5,65.8,15.5,POINT (-122.3157 45.8852)
53011010100,Clark,9.0,28.9,24.2,11.1,15.9,64.0,2.8,POINT (-122.3707 45.9076)
53011010200,Clark,9.3,39.4,34.6,13.5,19.9,71.8,5.1,POINT (-122.5862 45.8918)
53011010300,Clark,10.1,36.5,34.5,13.3,20.6,67.6,7.6,POINT (-122.6774 45.6793)
53011010400,Clark,8.8,32.2,30.8,9.9,20.5,68.8,9.1,POINT (-122.3050 45.8321)
53011010500,Clark,7.5,17.4,26.4,6.9,10.9,68.5,4.6,POINT (-122.4252 45.6761)
53011010600,Clark,5.4,21.9,23.3,4.0,9.6,64.2,3.8,POINT (-122.3090 45.8439)
53011010700,Clark,9.3,24.3,31.1,7.2,11.8,70.5,5.3,POINT (-122.2919 45.8141)
53011010800,Clark,6.8,27.1,25.5,10.3,15.9,66.8,5.3,POINT (-122.5400 45.7234)
53011010900,Clark,9.6,27.3,21.5,10.4,18.7,59.7,9.8,POINT (-122.5266 45.7829)
53011011000,Clark,10.9,43.8,33.7,15.0,23.4,74.2,8.0,POINT (-122.3873 45.6204)
53011011100,Clark,7.3,25.8,22.6,8.7,17.9,68.3,8.0,POINT (-122.3812 45.8455)
53011011200,Clark,8.6,23.4,29.2,7.9,13.4,78.9,2.8,POINT (-122.4711 45.7235)
53011011300,Clark,7.5,26.2,28.3,9.1,11.3,71.7,2.8,POINT (-122.6736 45.7280)
53011011400,Clark,14.0,45.4,38.1,20.4,30.2,72.8,16.9,POINT (-122.6305 45.7887)
53011011500,Clark,7.2,24.8,27.4,7.6,12.1,66.0,5.2,POINT (-122.3778 45.6440)
53011011600,Clark,14.5,36.7,38.9,17.5,26.5,71.9,11.1,POINT (-122.2964 45.6229)
53011011700,Clark,10.4,32.9,33.9,14.5,27.9,71.4,15.4,POINT (-122.2868 45.7746)
53011011800,Clark,9.8,31.0,30.9,10.7,18.3,73.5,4.2,POINT (-122.4466 45.6374)
53011011900,Clark,12.2,43.0,35.5,12.3,20.6,74.9,6.8,POINT (-122.3426 45.7248)
53011012000,Clark,6.8,24.7,26.2,9.1,13.6,67.2,4.5,POINT (-122.5758 45.7284)
53013000100,Columbia,11.1,36.1,27.5,15.1,24.6,70.5,10.8,POINT (-117.9601 46.4073)
53013000200,Columbia,14.5,35.1,31.5,13.9,18.6,72.3,5.7,POINT (-117.9539 46.1550)
53013000300,Columbia,13.9,35.5,32.3,14.5,20.6,71.5,5.2,POINT (-118.0083 46.3464)
53013000400,Columbia,13.8,42.5,31.1,14.6,23.9,69.4,11.7,POINT (-118.0873 46.2796)
53015000100,Cowlitz,12.5,37.6,36.2,15.1,22.4,72.2,13.8,POINT (-122.5675 46.2164)
53015000200,Cowlitz,10.9,27.5,32.1,9.8,11.1,72.2,2.8,POINT (-122.7019 46.1640)
53015000300,Cowlitz,11.0,33.5,30.8,13.6,19.3,70.3,7.5,POINT (-122.7892 46.0665)
53015000400,Cowlitz,13.1,38.7,32.1,16.8,23.4,71.2,12.0,POINT (-122.6773 46.0864)
53015000500,Cowlitz,15.8,40.2,38.5,16.1,25.0,73.1,7.3,POINT (-122.4904 46.1988)
53015000600,Cowlitz,8.6,22.7,27.1,10.8,15.1,67.3,6.7,POINT (-122.6301 46.0620)
53015000700,Cowlitz,14.1,33.9,36.3,15.2,24.5,70.5,14.3,POINT (-122.6635 46.1979)
53015000800,Cowlitz,4.5,22.7,15.9,3.7,7.3,70.6,2.8,POINT (-122.7878 46.3019)
53015000900,Cowlitz,13.6,44.2,39.6,20.3,30.8,70.6,12.2,POINT (-122.6011 46.0522)
53015001000,Cowlitz,10.6,27.6,34.4,9.7,16.5,71.9,5.1,POINT (-122.8630 46.1435)
53015001100,Cowlitz,15.5,37.8,39.0,13.7,20.1,69.3,8.2,POINT (-122.7463 46.1154)
53015001200,Cowlitz,10.2,27.4,24.3,9.4,11.6,69.9,3.3,POINT (-122.8010 46.2251)
53015001300,Cowlitz,7.6,24.2,21.2,8.2,15.9,61.1,9.1,POINT (-122.6770 46.1639)
53015001400,Cowlitz,10.8,34.7,30.7,11.2,17.6,66.9,9.8,POINT (-122.4804 46.1778)
53015001500,Cowlitz,11.3,41.0,31.7,13.7,18.1,63.9,4.5,POINT (-122.4896 46.0537)
